交易日期,收盤價,漲跌價,漲跌幅,BPS(元),目前PBR(倍),本淨比換算價格(1x),本淨比換算價格(1.4x),本淨比換算價格(1.8x),本淨比換算價格(2.2x),本淨比換算價格(2.6x),本淨比換算價格(3x)
03/26,54,+0.2,+0.37%,31.79,1.7,31.79,44.51,57.22,69.94,82.65,95.37
03/25,53.8,-0.1,-0.19%,31.79,1.69,31.79,44.51,57.22,69.94,82.65,95.37
03/24,53.9,-0.1,-0.19%,31.79,1.7,31.79,44.51,57.22,69.94,82.65,95.37
03/23,54,+0.2,+0.37%,31.79,1.7,31.79,44.51,57.22,69.94,82.65,95.37
03/20,53.8,+0.7,+1.32%,31.79,1.69,31.79,44.51,57.22,69.94,82.65,95.37
03/19,53.1,-0.4,-0.75%,31.79,1.67,31.79,44.51,57.22,69.94,82.65,95.37
03/18,53.5,-0.6,-1.11%,31.79,1.68,31.79,44.51,57.22,69.94,82.65,95.37
03/17,54.1,+0.4,+0.74%,31.79,1.7,31.79,44.51,57.22,69.94,82.65,95.37
03/16,53.7,+0.8,+1.51%,31.79,1.69,31.79,44.51,57.22,69.94,82.65,95.37
03/13,52.9,0,0%,31.79,1.66,31.79,44.51,57.22,69.94,82.65,95.37
03/12,52.9,+1.2,+2.32%,31.79,1.66,31.79,44.51,57.22,69.94,82.65,95.37
03/11,51.7,+0.3,+0.58%,31.79,1.63,31.79,44.51,57.22,69.94,82.65,95.37
03/10,51.4,+0.1,+0.19%,31.79,1.62,31.79,44.51,57.22,69.94,82.65,95.37
03/09,51.3,0,0%,31.79,1.61,31.79,44.51,57.22,69.94,82.65,95.37
03/06,51.3,+0.9,+1.79%,31.79,1.61,31.79,44.51,57.22,69.94,82.65,95.37
03/05,50.4,0,0%,31.79,1.59,31.79,44.51,57.22,69.94,82.65,95.37
03/04,50.4,-0.8,-1.56%,31.79,1.59,31.79,44.51,57.22,69.94,82.65,95.37
03/03,51.2,-0.2,-0.39%,31.79,1.61,31.79,44.51,57.22,69.94,82.65,95.37
03/02,51.4,+0.5,+0.98%,31.79,1.62,31.79,44.51,57.22,69.94,82.65,95.37
02/26,50.9,-0.2,-0.39%,31.79,1.6,31.79,44.51,57.22,69.94,82.65,95.37
02/25,51.1,-0.2,-0.39%,31.79,1.61,31.79,44.51,57.22,69.94,82.65,95.37
02/24,51.3,-0.3,-0.58%,31.79,1.61,31.79,44.51,57.22,69.94,82.65,95.37
02/23,51.6,+0.2,+0.39%,31.79,1.62,31.79,44.51,57.22,69.94,82.65,95.37
02/11,51.4,+0.5,+0.98%,31.79,1.62,31.79,44.51,57.22,69.94,82.65,95.37
02/10,50.9,+0.2,+0.39%,31.79,1.6,31.79,44.51,57.22,69.94,82.65,95.37
02/09,50.7,-0.2,-0.39%,31.79,1.59,31.79,44.51,57.22,69.94,82.65,95.37
02/06,50.9,-0.4,-0.78%,31.79,1.6,31.79,44.51,57.22,69.94,82.65,95.37
02/05,51.3,+0.3,+0.59%,31.79,1.61,31.79,44.51,57.22,69.94,82.65,95.37
02/04,51,+0.3,+0.59%,31.79,1.6,31.79,44.51,57.22,69.94,82.65,95.37
02/03,50.7,0,0%,31.79,1.59,31.79,44.51,57.22,69.94,82.65,95.37
02/02,50.7,-0.2,-0.39%,31.79,1.59,31.79,44.51,57.22,69.94,82.65,95.37
01/30,50.9,-0.8,-1.55%,31.79,1.6,31.79,44.51,57.22,69.94,82.65,95.37
01/29,51.7,+0.2,+0.39%,31.79,1.63,31.79,44.51,57.22,69.94,82.65,95.37
01/28,51.5,-0.2,-0.39%,31.79,1.62,31.79,44.51,57.22,69.94,82.65,95.37
01/27,51.7,-0.6,-1.15%,31.79,1.63,31.79,44.51,57.22,69.94,82.65,95.37
01/26,52.3,0,0%,31.79,1.65,31.79,44.51,57.22,69.94,82.65,95.37
01/23,52.3,-0.1,-0.19%,31.79,1.65,31.79,44.51,57.22,69.94,82.65,95.37
01/22,52.4,+0.2,+0.38%,31.79,1.65,31.79,44.51,57.22,69.94,82.65,95.37
