交易日期,收盤價,漲跌價,漲跌幅,近四季EPS(元),目前PER(倍),本益比換算價格(10x),本益比換算價格(14x),本益比換算價格(18x),本益比換算價格(22x),本益比換算價格(26x),本益比換算價格(30x)
03/26,54,+0.2,+0.37%,4.33,12.47,43.3,60.62,77.94,95.26,112.6,129.9
03/25,53.8,-0.1,-0.19%,4.33,12.42,43.3,60.62,77.94,95.26,112.6,129.9
03/24,53.9,-0.1,-0.19%,4.33,12.45,43.3,60.62,77.94,95.26,112.6,129.9
03/23,54,+0.2,+0.37%,4.33,12.47,43.3,60.62,77.94,95.26,112.6,129.9
03/20,53.8,+0.7,+1.32%,4.33,12.42,43.3,60.62,77.94,95.26,112.6,129.9
03/19,53.1,-0.4,-0.75%,4.33,12.26,43.3,60.62,77.94,95.26,112.6,129.9
03/18,53.5,-0.6,-1.11%,4.33,12.36,43.3,60.62,77.94,95.26,112.6,129.9
03/17,54.1,+0.4,+0.74%,4.33,12.49,43.3,60.62,77.94,95.26,112.6,129.9
03/16,53.7,+0.8,+1.51%,4.33,12.4,43.3,60.62,77.94,95.26,112.6,129.9
03/13,52.9,0,0%,4.33,12.22,43.3,60.62,77.94,95.26,112.6,129.9
03/12,52.9,+1.2,+2.32%,4.33,12.22,43.3,60.62,77.94,95.26,112.6,129.9
03/11,51.7,+0.3,+0.58%,4.33,11.94,43.3,60.62,77.94,95.26,112.6,129.9
03/10,51.4,+0.1,+0.19%,4.33,11.87,43.3,60.62,77.94,95.26,112.6,129.9
03/09,51.3,0,0%,4.33,11.85,43.3,60.62,77.94,95.26,112.6,129.9
03/06,51.3,+0.9,+1.79%,4.33,11.85,43.3,60.62,77.94,95.26,112.6,129.9
03/05,50.4,0,0%,4.33,11.64,43.3,60.62,77.94,95.26,112.6,129.9
03/04,50.4,-0.8,-1.56%,4.33,11.64,43.3,60.62,77.94,95.26,112.6,129.9
03/03,51.2,-0.2,-0.39%,4.33,11.82,43.3,60.62,77.94,95.26,112.6,129.9
03/02,51.4,+0.5,+0.98%,4.33,11.87,43.3,60.62,77.94,95.26,112.6,129.9
02/26,50.9,-0.2,-0.39%,4.33,11.76,43.3,60.62,77.94,95.26,112.6,129.9
02/25,51.1,-0.2,-0.39%,4.33,11.8,43.3,60.62,77.94,95.26,112.6,129.9
02/24,51.3,-0.3,-0.58%,4.33,11.85,43.3,60.62,77.94,95.26,112.6,129.9
02/23,51.6,+0.2,+0.39%,4.33,11.92,43.3,60.62,77.94,95.26,112.6,129.9
02/11,51.4,+0.5,+0.98%,4.33,11.87,43.3,60.62,77.94,95.26,112.6,129.9
02/10,50.9,+0.2,+0.39%,4.33,11.76,43.3,60.62,77.94,95.26,112.6,129.9
02/09,50.7,-0.2,-0.39%,4.33,11.71,43.3,60.62,77.94,95.26,112.6,129.9
02/06,50.9,-0.4,-0.78%,4.33,11.76,43.3,60.62,77.94,95.26,112.6,129.9
02/05,51.3,+0.3,+0.59%,4.33,11.85,43.3,60.62,77.94,95.26,112.6,129.9
02/04,51,+0.3,+0.59%,4.33,11.78,43.3,60.62,77.94,95.26,112.6,129.9
02/03,50.7,0,0%,4.33,11.71,43.3,60.62,77.94,95.26,112.6,129.9
02/02,50.7,-0.2,-0.39%,4.33,11.71,43.3,60.62,77.94,95.26,112.6,129.9
01/30,50.9,-0.8,-1.55%,4.33,11.76,43.3,60.62,77.94,95.26,112.6,129.9
01/29,51.7,+0.2,+0.39%,4.33,11.94,43.3,60.62,77.94,95.26,112.6,129.9
01/28,51.5,-0.2,-0.39%,4.33,11.89,43.3,60.62,77.94,95.26,112.6,129.9
01/27,51.7,-0.6,-1.15%,4.33,11.94,43.3,60.62,77.94,95.26,112.6,129.9
01/26,52.3,0,0%,4.33,12.08,43.3,60.62,77.94,95.26,112.6,129.9
01/23,52.3,-0.1,-0.19%,4.33,12.08,43.3,60.62,77.94,95.26,112.6,129.9
01/22,52.4,+0.2,+0.38%,4.33,12.1,43.3,60.62,77.94,95.26,112.6,129.9
01/21,52.2,+0.1,+0.19%,4.33,12.06,43.3,60.62,77.94,95.26,112.6,129.9
01/20,52.1,-0.2,-0.38%,4.33,12.03,43.3,60.62,77.94,95.26,112.6,129.9
